Machine Module,N9343C,CN0605A247
MCU Version,A.05.14
DSP Version,A.05.02.00 SA
FPGA Version,A.02.80
05:44:55 02.14.2019
Y Axis Scale,LOG
Y Axis Unit,V
Impedance,50
Number of Points,461
Sweep Time(s),0.384343,AUTO
Start Frequency,+0.000000000e+00
Stop Frequency,+8.000000000e+07
Frequency Offset,+0.000000000e+00
Average Type,Log Pwr
RBW,+3.000000000e+03,MAN
VBW,+3.000000000e+03,AUTO
Sweep Type,Continuous
Sweep Mode,Sweep
Speed,Fast
PreAmp State,OFF
Ref Level,+2.991226006e+01
Attenuation,50,AUTO
Ref Level Offset,+0.000000000e+00
X Axis Units,Hz
HiSensitive,OFF
Trigger Source,FreeRun
Trigger Level,+0.000000000e+00
Trigger Slope,RISE
Trigger Delay,+0.000000000e+00,OFF
Gate Sweep,OFF
Gate View,OFF
Gate Delay,+7.600000000e-04
Gate Length,+2.800000000e-04
Gate Source,External
Burst Level,-2.000000000e+01
Burst Trigger Slope,Rise
Timer Period,+1.040000000e-03
Timer Offset,+0.000000000e+00
Sync Source,Off
Apply Corrections,OFF
Antenna Unit,OFF
Correction1,Off
Correction2,Off
Correction3,Off
Correction4,Off
Marker Information
Marker,Trace,Type,X Axis,Amplitude
M1,1,Frequency,41.21 MHz,813.8 mV
Trace Math,Off
Trace Math By,Log Power
Trace Variable A,Trace1
Trace Variable B,Trace2
Trace Variable C,Trace3
Trace Name,Trace1,
Trace Count,1,
Trace Type,Max Hold,
Trace Detector,Pos Peak,
Trace Data
+0.000000000e+00,+4.523880032e+00,
+1.739130435e+05,+9.679973365e-02,
+3.478260870e+05,+4.805975631e-02,
+5.217391304e+05,+2.614128389e-02,
+6.956521739e+05,+2.142690762e-02,
+8.695652174e+05,+1.482160968e-02,
+1.043478261e+06,+4.216763730e-01,
+1.217391304e+06,+4.219813112e-01,
+1.391304348e+06,+4.226133094e-01,
+1.565217391e+06,+4.238072011e-01,
+1.739130435e+06,+4.198072984e-01,
+1.913043478e+06,+4.229785516e-01,
+2.086956522e+06,+4.228997945e-01,
+2.260869565e+06,+4.206998705e-01,
+2.434782609e+06,+4.192101727e-01,
+2.608695652e+06,+4.210206744e-01,
+2.782608696e+06,+4.212337391e-01,
+2.956521739e+06,+4.178468499e-01,
+3.130434783e+06,+4.200408940e-01,
+3.304347826e+06,+4.168003129e-01,
+3.478260870e+06,+4.163398263e-01,
+3.652173913e+06,+4.201598972e-01,
+3.826086957e+06,+4.197857735e-01,
+4.000000000e+06,+4.140762912e-01,
+4.173913043e+06,+4.168720067e-01,
+4.347826087e+06,+4.170282746e-01,
+4.521739130e+06,+4.138879319e-01,
+4.695652174e+06,+4.159559281e-01,
+4.869565217e+06,+4.154845362e-01,
+5.043478261e+06,+4.123917455e-01,
+5.217391304e+06,+4.134132324e-01,
+5.391304348e+06,+4.148992762e-01,
+5.565217391e+06,+4.128832235e-01,
+5.739130435e+06,+4.156299705e-01,
+5.913043478e+06,+4.154606328e-01,
+6.086956522e+06,+4.133031511e-01,
+6.260869565e+06,+4.153953161e-01,
+6.434782609e+06,+4.140451951e-01,
+6.608695652e+06,+4.133661419e-01,
+6.782608696e+06,+4.130596287e-01,
+6.956521739e+06,+4.102339851e-01,
+7.130434783e+06,+4.067835883e-01,
+7.304347826e+06,+4.085461632e-01,
+7.478260870e+06,+4.064907036e-01,
+7.652173913e+06,+4.022303315e-01,
+7.826086957e+06,+4.048825364e-01,
+8.000000000e+06,+4.044733404e-01,
+8.173913043e+06,+4.008587360e-01,
+8.347826087e+06,+4.026671439e-01,
+8.521739130e+06,+4.005764505e-01,
+8.695652174e+06,+3.963079810e-01,
+8.869565217e+06,+4.020030436e-01,
+9.043478261e+06,+3.994536151e-01,
+9.217391304e+06,+3.961439929e-01,
+9.391304348e+06,+3.979699962e-01,
+9.565217391e+06,+3.974916659e-01,
+9.739130435e+06,+3.953310159e-01,
+9.913043478e+06,+4.051131648e-01,
+1.008695652e+07,+4.057219265e-01,
+1.026086957e+07,+4.044050444e-01,
+1.043478261e+07,+4.052050704e-01,
+1.060869565e+07,+4.032141641e-01,
+1.078260870e+07,+4.036714794e-01,
+1.095652174e+07,+4.037789954e-01,
+1.113043478e+07,+4.048355064e-01,
+1.130434783e+07,+4.031241929e-01,
+1.147826087e+07,+4.009555974e-01,
+1.165217391e+07,+4.030409238e-01,
+1.182608696e+07,+4.010542877e-01,
+1.200000000e+07,+4.016763547e-01,
+1.217391304e+07,+4.045552620e-01,
+1.234782609e+07,+4.037168006e-01,
+1.252173913e+07,+4.033721548e-01,
+1.269565217e+07,+3.989105579e-01,
+1.286956522e+07,+4.009648424e-01,
+1.304347826e+07,+4.023667969e-01,
+1.321739130e+07,+4.017823247e-01,
+1.339130435e+07,+4.031748532e-01,
+1.356521739e+07,+4.026753673e-01,
+1.373913043e+07,+4.021542014e-01,
+1.391304348e+07,+3.982946109e-01,
+1.408695652e+07,+4.023003805e-01,
+1.426086957e+07,+4.014098222e-01,
+1.443478261e+07,+4.009366018e-01,
+1.460869565e+07,+4.009784682e-01,
+1.478260870e+07,+4.004717879e-01,
+1.495652174e+07,+3.983635370e-01,
+1.513043478e+07,+3.998518717e-01,
+1.530434783e+07,+3.987579048e-01,
+1.547826087e+07,+3.960745810e-01,
+1.565217391e+07,+3.999211332e-01,
+1.582608696e+07,+3.956481783e-01,
+1.600000000e+07,+3.971941980e-01,
+1.617391304e+07,+3.978892552e-01,
+1.634782609e+07,+3.944408357e-01,
+1.652173913e+07,+3.952394405e-01,
+1.669565217e+07,+3.970385617e-01,
+1.686956522e+07,+3.954674201e-01,
+1.704347826e+07,+3.934554917e-01,
+1.721739130e+07,+3.955754221e-01,
+1.739130435e+07,+3.941048875e-01,
+1.756521739e+07,+3.922644876e-01,
+1.773913043e+07,+3.946906284e-01,
+1.791304348e+07,+3.944817855e-01,
+1.808695652e+07,+3.927587787e-01,
+1.826086957e+07,+3.952693196e-01,
+1.843478261e+07,+3.935935176e-01,
+1.860869565e+07,+3.901566677e-01,
+1.878260870e+07,+3.919038000e-01,
+1.895652174e+07,+3.910698537e-01,
+1.913043478e+07,+3.866139266e-01,
+1.930434783e+07,+3.882718414e-01,
+1.947826087e+07,+3.868084537e-01,
+1.965217391e+07,+3.841398018e-01,
+1.982608696e+07,+3.859910289e-01,
+2.000000000e+07,+3.851072285e-01,
+2.017391304e+07,+3.845752301e-01,
+2.034782609e+07,+3.819500821e-01,
+2.052173913e+07,+3.801097633e-01,
+2.069565217e+07,+3.782081891e-01,
+2.086956522e+07,+3.754439887e-01,
+2.104347826e+07,+3.744168206e-01,
+2.121739130e+07,+3.724719882e-01,
+2.139130435e+07,+3.708588981e-01,
+2.156521739e+07,+3.699647962e-01,
+2.173913043e+07,+3.687530419e-01,
+2.191304348e+07,+3.684224272e-01,
+2.208695652e+07,+3.637303445e-01,
+2.226086957e+07,+3.657433408e-01,
+2.243478261e+07,+3.678044265e-01,
+2.260869565e+07,+3.646666907e-01,
+2.278260870e+07,+3.601530076e-01,
+2.295652174e+07,+3.629287737e-01,
+2.313043478e+07,+3.600551315e-01,
+2.330434783e+07,+3.546352139e-01,
+2.347826087e+07,+3.575619272e-01,
+2.365217391e+07,+3.554731435e-01,
+2.382608696e+07,+3.510284468e-01,
+2.400000000e+07,+3.531384423e-01,
+2.417391304e+07,+3.495051155e-01,
+2.434782609e+07,+3.449091504e-01,
+2.452173913e+07,+3.493060389e-01,
+2.469565217e+07,+3.491144832e-01,
+2.486956522e+07,+3.409648677e-01,
+2.504347826e+07,+3.431490856e-01,
+2.521739130e+07,+3.410927936e-01,
+2.539130435e+07,+3.392571400e-01,
+2.556521739e+07,+3.390302204e-01,
+2.573913043e+07,+3.368527099e-01,
+2.591304348e+07,+3.340027856e-01,
+2.608695652e+07,+3.358538139e-01,
+2.626086957e+07,+3.317067428e-01,
+2.643478261e+07,+3.323809970e-01,
