"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
2.435e-07;1e+07;0.520759;0
2.438e-07;1e+07;0.499419;0
2.441e-07;1e+07;0.477898;0
2.444e-07;1e+07;0.456205;0
2.447e-07;1e+07;0.434347;0
2.45e-07;1e+07;0.412333;0
2.453e-07;1e+07;0.39017;0
2.456e-07;1e+07;0.367869;0
2.459e-07;1e+07;0.345436;0
2.462e-07;1e+07;0.32288;0
2.465e-07;1e+07;0.30021;0
2.468e-07;1e+07;0.277436;0
2.471e-07;1e+07;0.254565;0
2.474e-07;1e+07;0.231608;0
2.477e-07;1e+07;0.208571;0
2.48e-07;1e+07;0.185465;0
2.483e-07;1e+07;0.162297;0
2.486e-07;1e+07;0.139073;0
2.489e-07;1e+07;0.115796;0
2.492e-07;1e+07;0.0924623;0
2.495e-07;1e+07;0.0690614;0
2.498e-07;1e+07;0.0455711;0
2.501e-07;1e+07;0.0219592;0
2.504e-07;1e+07;-0.00181122;0
2.507e-07;1e+07;-0.025772;0
2.51e-07;1e+07;-0.0499414;0
2.513e-07;1e+07;-0.0743182;0
2.516e-07;1e+07;-0.0988806;0
2.519e-07;1e+07;-0.123589;0
2.522e-07;1e+07;-0.148388;0
2.525e-07;1e+07;-0.173213;0
2.528e-07;1e+07;-0.197994;0
2.531e-07;1e+07;-0.222657;0
2.534e-07;1e+07;-0.247128;0
2.537e-07;1e+07;-0.271337;0
2.54e-07;1e+07;-0.295219;0
2.543e-07;1e+07;-0.318714;0
2.546e-07;1e+07;-0.341773;0
2.549e-07;1e+07;-0.364358;0
2.552e-07;1e+07;-0.38645;0
2.555e-07;1e+07;-0.408057;0
2.558e-07;1e+07;-0.429212;0
2.561e-07;1e+07;-0.449972;0
2.564e-07;1e+07;-0.470412;0
2.567e-07;1e+07;-0.490613;0
2.57e-07;1e+07;-0.510653;0
2.573e-07;1e+07;-0.530605;0
2.576e-07;1e+07;-0.550528;0
2.579e-07;1e+07;-0.570466;0
2.582e-07;1e+07;-0.590445;0
2.585e-07;1e+07;-0.61048;0
2.588e-07;1e+07;-0.630565;0
2.591e-07;1e+07;-0.650686;0
2.594e-07;1e+07;-0.670814;0
2.597e-07;1e+07;-0.690912;0
2.6e-07;1e+07;-0.71094;0
2.603e-07;1e+07;-0.73085;0
