"time";"ft";"r Pr3.Vt";"i Pr3.Vt"
2e-07;1e+07;0.0928551;0
2.003e-07;1e+07;0.132655;0
2.006e-07;1e+07;0.172741;0
2.009e-07;1e+07;0.212704;0
2.012e-07;1e+07;0.252222;0
2.015e-07;1e+07;0.291083;0
2.018e-07;1e+07;0.32914;0
2.021e-07;1e+07;0.366291;0
2.024e-07;1e+07;0.402453;0
2.027e-07;1e+07;0.437618;0
2.03e-07;1e+07;0.471957;0
2.033e-07;1e+07;0.505836;0
2.036e-07;1e+07;0.539646;0
2.039e-07;1e+07;0.573625;0
2.042e-07;1e+07;0.607848;0
2.045e-07;1e+07;0.642286;0
2.048e-07;1e+07;0.676859;0
2.051e-07;1e+07;0.711473;0
2.054e-07;1e+07;0.746036;0
2.057e-07;1e+07;0.780468;0
2.06e-07;1e+07;0.814701;0
2.063e-07;1e+07;0.848682;0
2.066e-07;1e+07;0.882371;0
2.069e-07;1e+07;0.915734;0
2.072e-07;1e+07;0.948748;0
2.075e-07;1e+07;0.981394;0
2.078e-07;1e+07;1.01366;0
2.081e-07;1e+07;1.04553;0
2.084e-07;1e+07;1.07699;0
2.087e-07;1e+07;1.10804;0
2.09e-07;1e+07;1.13866;0
2.093e-07;1e+07;1.16885;0
2.096e-07;1e+07;1.1986;0
2.099e-07;1e+07;1.2279;0
2.102e-07;1e+07;1.25674;0
2.105e-07;1e+07;1.2851;0
2.108e-07;1e+07;1.313;0
2.111e-07;1e+07;1.3404;0
2.114e-07;1e+07;1.36731;0
2.117e-07;1e+07;1.39371;0
2.12e-07;1e+07;1.41961;0
2.123e-07;1e+07;1.44498;0
2.126e-07;1e+07;1.46982;0
2.129e-07;1e+07;1.49412;0
2.132e-07;1e+07;1.51787;0
2.135e-07;1e+07;1.54107;0
2.138e-07;1e+07;1.56371;0
2.141e-07;1e+07;1.58577;0
2.144e-07;1e+07;1.60726;0
2.147e-07;1e+07;1.62817;0
2.15e-07;1e+07;1.64848;0
2.153e-07;1e+07;1.66819;0
2.156e-07;1e+07;1.68729;0
2.159e-07;1e+07;1.70578;0
2.162e-07;1e+07;1.72365;0
2.165e-07;1e+07;1.7409;0
2.168e-07;1e+07;1.75751;0
2.171e-07;1e+07;1.77349;0
2.174e-07;1e+07;1.78883;0
2.177e-07;1e+07;1.80351;0
2.18e-07;1e+07;1.81755;0
2.183e-07;1e+07;1.83092;0
2.186e-07;1e+07;1.84364;0
2.189e-07;1e+07;1.85569;0
2.192e-07;1e+07;1.86706;0
2.195e-07;1e+07;1.87776;0
2.198e-07;1e+07;1.88778;0
2.201e-07;1e+07;1.89712;0
2.204e-07;1e+07;1.90578;0
2.207e-07;1e+07;1.91374;0
2.21e-07;1e+07;1.92102;0
2.213e-07;1e+07;1.9276;0
2.216e-07;1e+07;1.93348;0
2.219e-07;1e+07;1.93867;0
2.222e-07;1e+07;1.94315;0
2.225e-07;1e+07;1.94694;0
2.228e-07;1e+07;1.95002;0
2.231e-07;1e+07;1.95239;0
2.234e-07;1e+07;1.95407;0
2.237e-07;1e+07;1.95503;0
2.24e-07;1e+07;1.95529;0
2.243e-07;1e+07;1.95485;0
2.246e-07;1e+07;1.95369;0
2.249e-07;1e+07;1.95184;0
2.252e-07;1e+07;1.94927;0
2.255e-07;1e+07;1.94601;0
2.258e-07;1e+07;1.94204;0
2.261e-07;1e+07;1.93737;0
2.264e-07;1e+07;1.93199;0
2.267e-07;1e+07;1.92592;0
2.27e-07;1e+07;1.91916;0
2.273e-07;1e+07;1.9117;0
2.276e-07;1e+07;1.90355;0
2.279e-07;1e+07;1.89471;0
2.282e-07;1e+07;1.88518;0
2.285e-07;1e+07;1.87498;0
2.288e-07;1e+07;1.86409;0
2.291e-07;1e+07;1.85253;0
2.294e-07;1e+07;1.8403;0
2.297e-07;1e+07;1.8274;0
2.3e-07;1e+07;1.81384;0
2.303e-07;1e+07;1.79963;0
2.306e-07;1e+07;1.78476;0
2.309e-07;1e+07;1.76924;0
2.312e-07;1e+07;1.75309;0
2.315e-07;1e+07;1.7363;0
2.318e-07;1e+07;1.71887;0
2.321e-07;1e+07;1.70083;0
2.324e-07;1e+07;1.68217;0
2.327e-07;1e+07;1.66289;0
2.33e-07;1e+07;1.64302;0
2.333e-07;1e+07;1.62255;0
2.336e-07;1e+07;1.60148;0
2.339e-07;1e+07;1.57984;0
2.342e-07;1e+07;1.55762;0
2.345e-07;1e+07;1.53484;0
2.348e-07;1e+07;1.5115;0
2.351e-07;1e+07;1.48761;0
2.354e-07;1e+07;1.46317;0
2.357e-07;1e+07;1.43821;0
2.36e-07;1e+07;1.41272;0
2.363e-07;1e+07;1.38672;0
2.366e-07;1e+07;1.36022;0
2.369e-07;1e+07;1.33321;0
2.372e-07;1e+07;1.30573;0
2.375e-07;1e+07;1.27776;0
2.378e-07;1e+07;1.24934;0
2.381e-07;1e+07;1.22045;0
2.384e-07;1e+07;1.19113;0
2.387e-07;1e+07;1.16136;0
2.39e-07;1e+07;1.13118;0
2.393e-07;1e+07;1.10058;0
2.396e-07;1e+07;1.06958;0
2.399e-07;1e+07;1.03819;0
2.402e-07;1e+07;1.00642;0
2.405e-07;1e+07;0.974287;0
2.408e-07;1e+07;0.941796;0
2.411e-07;1e+07;0.908962;0
2.414e-07;1e+07;0.875796;0
2.417e-07;1e+07;0.842311;0
2.42e-07;1e+07;0.808518;0
2.423e-07;1e+07;0.774431;0
2.426e-07;1e+07;0.740062;0
2.429e-07;1e+07;0.705423;0
2.432e-07;1e+07;0.670528;0
2.435e-07;1e+07;0.635389;0
2.438e-07;1e+07;0.60002;0
2.441e-07;1e+07;0.564433;0
2.444e-07;1e+07;0.528643;0
2.447e-07;1e+07;0.492663;0
2.45e-07;1e+07;0.456507;0
2.453e-07;1e+07;0.420189;0
2.456e-07;1e+07;0.383723;0
2.459e-07;1e+07;0.347125;0
2.462e-07;1e+07;0.310408;0
2.465e-07;1e+07;0.27359;0
2.468e-07;1e+07;0.236685;0
2.471e-07;1e+07;0.199711;0
2.474e-07;1e+07;0.162685;0
2.477e-07;1e+07;0.125625;0
2.48e-07;1e+07;0.0885448;0
2.483e-07;1e+07;0.0514514;0
2.486e-07;1e+07;0.0143247;0
2.489e-07;1e+07;-0.0229217;0
